Comment,Score
"Мне фильм понравился. Он о тяжелом выборе и о судьбе, которая может распорядиться жизнью любого человека совсем не так, как он сам планировал. Хоть в самой истории и есть некоторая утопичность (в бытовых и технических деталях), но от этого фильм не становится хуже, он просто больше тяготеет к сказке, в которой ""всякое бывает"". Посему рекомендую не готовиться к просмотру в чистом виде - научной фантастики, а действительно это больше мелодрама, приключения. События разворачиваются на большом, красивом, футуристическом космическом корабле...",9
"Фильм интересен, фантастика довольно реалистичная. Несколько хотел бы поразмыслить: а если с кораблём все было бы в порядке, то получается леди ""Крейсер"" не поменяла бы свою позицию по отношению к ""механику"", ну по крайней мере не так быстро... Интересно насколько быстро те проснувшиеся в конце фильма обмороки врубились что происходило во время их ""сладкого"" сна? Они конечно-то ни в чем не виноваты: ну подумаешь спят себе тихонько и никому не мешают... Да многие прыгали бы до потолка имея возможность жить в таких условия как на том корабле, не видя даже белого света.",9
"Ожидала больше рассказов о космосе, что касается логики - то она не всегда присутствует. Например, в фильме сказано что произошел сбой системы корабля, и система не может выдержать давления, однако дивным образом костюм главного героя выдерживает ВСЕ, вопрос тогда, из чего сделан корабль и из чего костюмы? Как по мне, так фильм можно посмотреть один раз, но не больше.",5
" СпойлерФильм оригинален, про отношения, когда 2 человека остались и прожили вместе около 80 лет. Фильм я бы отметил более приключенческим, чем фантастики (только что в будущем и космическое) и немного мелодрамы. В фильме есть изюминка в виде некоторых сцен из-за которых хочется смотреть до конца и узнать, что будет дальше. Оценка 7/10, годен к просмотру.",7
"Фильм понравился. Не хотела бы я оказаться на месте главного героя. Естественно события развиваются не быстро. Но игра актеров и пр. все отлично. Не фильм года, но вполне стоящий просмотра.",7
"Ничего обалденного в фильме не обнаружила. Обычный фильм убить время, я бы даже сказала, что он занудный. По рекламе ждала чего-то вау интересного, а по факту оказалось так себе.",5
"Фильм очень понравился! Идея просто супер, хороший сценарий. Умники конечно придерутся, что уж слишком всё было фэнтези! Но мне всё понравилось, современно, интересно, динамично и даже почти без соплей, то бишь в амуре умеренно. Единственное, что удивило это фрагмент с неадекватным выпадом гл.героини с кочергой в руках или ХЗ что это было, прям вот перегнули или так и задумано, по-моему, лишнее. Зато, понравилась очень, идея с деревом, сам корабль, момент нарушенной гравитации внутри корабля в сцене с бассейном, робот тоже милаха. Фильму высокая оценка, безусловно.",10
"Обалденный фильм. Оценила его по пятибалльной шкале. Конец не очень. Как всегда - хочется счастливого продолжения. Может выпустят вторую часть. Сразу захотелось в космос, куда-нибудь на Марс. Актёры хорошие. Советую посмотреть. Фантастика, романтика.",10
"В основе фильма лежит мелодрама и показана она не очень...  СпойлерТакое впечатление, что на стадии монтажа, слишком урезали некоторые моменты или вообще вырезали, а то как герой жил 12 месяцев показывали долго, да и то, не смогли показать, показалось что он недели 3-4 жил один, но быстро отчаялся.Все остальное: фантастика, космос - это только обертка, которая не тянет до уровня серьезной научной фантастики. Многое не реалистично, в том числе: - Если гравитация была за счет центробежной силы, то она не могла резко появляться и исчезать.- На корабле были запчасти для его ремонта, но не было роботов ремонтников.В общем, автор фильма много нафантазировал (в плохом смысле), ради сюжета мелодрамы, и условия для подвига и риск, но мелодрама показана плоховато, хотя если не придираться к этим ""декорациям"", не вдумываться, то впечатление будет положительное, типа, герои фильма попали в аварию, но благодаря любви прожили счастливую жизнь.",4
"От Лоуренс ожидал большего, видимо слишком часто снимается, далековато ей еще до той же Баллок, которая в одну каску вытаскивает фильмы. Ну а в целом неплохой фильм, фантастика есть фантастика. Хотя, до этого фильма, более удачно по этой тропке уже прошлось немало фильмов, начиная с Чужого.",5
"Во время просмотра фильм казался весьма затянутым, но к концу это ощущение пропало. Приятный фильм, космическая фантастика с романтикой. Ну и тема страха одиночества тут раскрыта тоже. Я бы даже сказал, это тут главная тема. Для кого динамика не столь важна, советую посмотреть.",7
"Фильм потрясающий! Смотрю уже какой раз, и все равно нравится. Актеры прекрасны, сюжет интересный, снято очень качественно. Не к чему придраться. Всем советую!",10
"Голливуд стал меньше внимания уделять целостности сюжета. Как мелодрама не плохой, а как история - полный бред. Конфликта не было - уже с середины фильма герои могли безболезненно решить свои проблемы при помощи вызванных спецов, но предпочли чинить звездолет при помощи кувалды и чьей то матери. Бог в помощь, что называется.",5
"Вообще не понимаю жесткой критики в адрес этого фильма и очень ей удивлена. Для меня это лучший фильм, на который я ходила в 2016-ом. Сюжет - уникальный, концовка не была предсказуема до последних кадров, графика отменная. Просто наверное есть люди, которых ничем не удивить, а есть такие как я, более впечатлительные).",10
"Ну что сказать, фильм хорош! Актриса - просто красотка! Прекрасно себя раскрыла в этом фильме. Нежная, чувственная, это вам не Мистик из Людей Х. Тема про любовь вечная, о ней писал еще Шекспир, меняются времена и люди само чувство - незыблемо! Несмотря на всю банальность сюжета (два человека летят в корабле на другую планету) фильм открывает что-то по истине глубокое. Пожертвовать жизнью ради любимого человека. Я его уже раза три посмотрел. Всем советую.",10
"Не оправдал ожидания вообще. Вчера сходили на него с супругой в кинотеатр. Если коротко - длительность фильма 2 часа 10 минут, из них 2 часа соплей и 10 минут экшена (где он в шахте реактора), все. Очень разочарован.",1
"Очень даже такой фильм). ""Жизненная фантастика"". В принципе история любви длиной в полёт жизни). Как говорят ""вкусная конфета"" - всё на высоте). 10 из 10.",10
"Ярких моментов мало, сам фильм могли бы сделать короткометражным в 30-40 минут, заделка вроде интересная, но впечатлений мало. Актеры вроде норм, но все банально. Из 5 дам 2-ку с -. Гляну-ка я лучше еще разок ""Армагеддон"", очень нравится.",4
"Хороший фильм, всё на уровне, а на большом экране картинка весьма порадует глаз. Рекомендовала бы любителям космической тематики. Есть также интересная и относительно оригинальная философская начинка-задумка о вечных темах и неплохая психологическая подоплека, так что вполне сносно. Фильм хороший, на твердую 4/5, однако не шедевр, который потом станет классикой, легендой, культовым великолепием, которое можно много раз пересматривать, так что оценить его на 5/5 или 10/10, увы, не могу. Твердая 4.",8
"Хотела посмотреть это кино, еще в момент выхода картины в кинотеатрах. Не вышло. Наверное, к счастью. Фильм затянут. Смотреть, лично мне, было тяжеловато. Советовать не буду. Есть моменты где явно переборщили с реалистичностью, даже при условии, что это фантастика. Если смотреть с позиции поведения, выбора и принятия решений, то есть над чем задуматься. Явно поднята проблема одиночества. Страха перед неизвестностью и бесцельностью существования. В целом на разок посмотреть хватит. 4 из 10.",4
"В кино не ходил, смотрел тут! Не жалею времени, единственное, что-то не хватило (полагаю реальности чувств, аргументов, диалогов). Это мелодрама с уклоном на фантастику, так что любителям ""ВАУ"" тут ловить нечего. И да, концовка убила, можно было поинтересней придумать. 5 из 10, как-то так.",5
"Фильм в общем и целом понравился. На мой взгляд, для такого сюжета слабовата игра актёров, как-то всё  поверхностно, не затрагивает самую глубину чувств. Хотя, повторюсь, сюжет позволяет пробрать вас до самой-самой глубокой точки восприятия, но... такого не произошло. И, ещё, концовка, просто обрубок. Можно было продлить фильм на 2 минуты, и сделать потрясающий финал. 4 из 5-ти.",8
"Фильм мне очень понравился, немного фантастики, немного романтики, но все же очень клевый, очень советую посмотреть вечерком с компанией! Думаю еще разок его пересмотреть! 8/10.",8
"От фантастики одно название, до хорошей мелодрамы не дотягивает, а если брать пересечение жанров, то этому ""творению"" до Армагеддона очень далеко! Короче, далеко не шедевр, просто очередная скучная история с хорошей рекламной компанией и не более.",1
"Фильм не впечатлил. Скучноватая история. Еле досмотрели. Оценка 3/5. Как-то всё затянуто, нет интриги и т.д. Не советую к просмотру. Не могу понять почему такие высокие оценки и комментарии к этому фильму. ",6
"Картина для любителей романтики и легкой драмы. Но смотреть скорей всего порекомендую для общего представления. Фантастики нет практически.  СпойлерЧисто технически, фильм небольшая пародия книги Ливадного из цикла ""История галактики"" (не реклама). Но логики практически 0. Примеры тупостей - есть робот с ИИ высокого уровня, но он бармен. А вот основному компу корабля ИИ не полагается. Также есть мелкие роботы-уборщики, но нет ни одного ремонтного серва, есть криокапсулы, но без возможности их ремонта и повторной гибернации, на больше 5К народа 1 автодок. Зато танцплощадка и бассейн есть - колонизаторы, мля. Комп реально не помогает даже при том, что пассажир говорит о угрозе его жизни. У корабля есть новый энергощит, но ни одного бортового, если придираться, то еще вагон тупостей найти можно. Единственный спецэффект на фильм - с бассейном.",7
"Очень слабая картина. Чересчур стерильная и беззубая. Актерский каст (разве что кроме Майкла Шина) совершенно не старается. Ни Претт ни Лоуренс не отыгрывают свои 32 миллиона долларов. Как всегда от великолепной и интригующей идеи не осталось ровным счетом ничего. Фильм может понравиться скорее любителям мелодрам, больше здесь ничего нет.",1
"Фильм в первую очередь говорит о том, как важен для человека социум, что люди существа социальные и если мы не замечаем этого в повседневной суете, то стоит от неё оторваться, это становится самым главным. Интересный фильм - немного в духе Соляриса.",8
"Любимый актер, что тут сказать, 5+. А если не предвзято, то банальный фильм, после смерти капитана понятно что будет счастливый конец, так как одной ей никак вообще.",6
"Да. Давно не получала таких впечатлений от фильма. Романтика, но без соплей, фантастика без супергероев, очень довольна просмотром. Спасибо.",10
"Неплохой фильм. Хоть он и примитивный несколько. Но актеры симпатичные, и проблема выбора поднимается. Как бы мы поступили на месте главного героя? Сложно сказать. Мне в этом случае понравился хэппи-энд. Тревожные моменты были, и спецэффекты, противоречащие законам физики, тоже были).",7
"Замечательный фильм, прекрасная игра актеров. Рекомендую для просмотра всей семьей. И тем кто убежден в том, что живых людей заменит компьютерная графика, советую посмотреть этот фильм. Он держит у экрана от начала и до конца. Отношения, эмоции, действия - очень хороший и проработанный сценарий.",10
"Вполне хорошая фантастика! Такие фильмы обязательно нужно смотреть на большом экране, и в хорошем качестве. Ведь сейчас делается ставка на картинку, на спецэффекты! Да и вообще наверное нужно начинать копить на новый 4К телик! Моя оценка 8 из 10!",8
"Не понравился фильм. Скучен. Я бы сказала он очень слабый, как по романтике, так и по фантастике. Мне даже кажется, что уклон в основном был на спецэффекты, но даже они не спасли картину. Я в физике ноль, но были моменты абсолютно нелогичные и глупые, кстати, не только в физике. Аргументировать возможность ""выйти из сна"" тем, что такого никогда не случалось - безрассудная. Короче говоря, никакой фильм.",1
"Одно то, что в этом фильме не было ни одного супермена, говорит о том, что его можно посмотреть. Ну конечно, американцы не упустят случая воткнуть везде скрытый смысл, как и в этом фильме. Говоря о перенаселённости Земли и что все будет дорожать до бесконечности и для кого-то, золотая карта позволит жить роскошно даже в космосе. Но вот основную идею, конечно, взяли из русского анекдота. Что без кувалды (образно) не обойтись.",5
"Очень красивый фильм! Пусть и играло так мало людей, за то они превосходные актеры. А космический корабль - мечта! Какие пейзажи космоса! Смотрела в 4D, очень переживала за героев. ",10
"Крутой фильм. Я бы так же поступил. А как прожить-то одному, а тут такой выбор?) Фантастики мало, но романтики хватает вполне. 5/5.",10
"Фильм наглядно показывает какое нас ждёт будущее. Надеюсь таких перемен я не дождусь. Сам фильм как и сюжет мне понравился. Один из немногих фильмов где всего два главных героя и третий появляется на какое-то время. Три актёра в фильме, потрясающе.",10
"Фильм на один раз, затягивает из любопытства чем все закончится. Сюжет чем-то похож на фильм ""Элизиум"", только без монстров. Игра актеров средняя, спецэффекты интересные. Оценка 8 из 10. Рекомендую тем, кому нечего больше смотреть.",8
"Смотрела с молодым человеком и ожидали много экшена, посмотрев трейлер. Итог - экшена практически нет, но это совершенно не портит фильм. Я осталась под приятным впечатлением картины. Наверно, рекомендоваться может больше все же девушкам. Мне не понравился конец...",7
"Изумительный фильм! Правда жена не в восторге, мягко говоря. Актёры подобраны, что называется, в точку. Лоуренс и Пратт очень красивая пара. 5 из 5.",10
"Не любитель я фантастики, но почти каждый фильм фантастика. Но типа книги ""Затерявшиеся в тайге"" Леонида Репина. Приключенческий фильм, занимательная история, удавшаяся история трех персонажей, по этому пять баллов.",8
"Лично мне очень понравился фильм. Да, много неточностей и неправдоподобностей, но, по-моему, в последнее время без этого уже никуда. Актёры очень приятные, не было такого момента, что хотелось промотать.",10
"Как мелодрама 10 из 10. Фильм - мечта романтиков. С технической точки зрения...  СпойлерСистема, в которой пробит главный компьютер реактора, не будит техников для устранения неисправности, не шлет отчет на землю и при этом пытается ""замять"" происшествие. Корабль на 5000 человек не имеет постоянной вахты, средств для повторной гибернации и только 1 медотсек. Это непомерно дорогой для человечества катафалк на 5к+ гробов, который невероятным чудом избегает неминуемой смерти в безвестности.",10
"Данный фильм смотрела в 4D, и слов описать картины в этом фильме не хватает! Великолепный вид. Что касается сюжета: могу назвать данный фильм метафорой, и если начать вдумываться в неё, то до многого можно дойти. Насчёт игры актёров: игра хорошая, нечего сказать. Смотреть приятно. Данный фильм я бы могла посмотреть ещё раз, да. Тем, кто не любит ""Санта-Барбару"", а предпочитает не только слюнявые моменты, но и смысл в сюжете о любви - прошу к просмотру. Ставлю 5 из 5 данному фильму. Его ""звёздная"" оценка на данном сайте соответствует действительности.",10
"Очень воодушевляющий фильм! Давно такого не снимали. Картина понравилась вся в целом, каждая идея и действие продуманы и воплощены фантастически!",10
"Фильм на один раз. Ни любовная история и самопожертвование, ни геройство не дотягивают, чтобы по-настоящему зацепить. Я уже молчу про элементарную логику в поведении героев и в общем всей ситуации. Комедию лучше бы сняли, как вместе с красавчиком Мелисса Маккарти просыпается на ближайшие 90 лет).",5
"Любители фантастики обломаются. Фильм ни о чем. Для девочек-подростков. Тот самый случай, когда трейлер лучше фильма. 3 из 10.",3
"Да уж... Все так наивно, просто.  СпойлерКак только я поняла, что герой Лоуренс (не помню, как зовут) не проснется, а он технарь, сразу стало понятно, что сюжет будет разворачиваться как-то так: он ее разбудит, все будет шикарно, что-нибудь ""страшное"" произойдет, она узнает, поссорятся, что-нибудь ""очень страшное"" произойдет, они помирятся, вместе решат проблему и или найдут волшебный способ заснуть или проживут вместе. Ну и пожалуйста. Хотя то, что не сделали первый вариант концовки - хорошо. Актерский состав, конечно, шикарный, сыграно круто. Но сюжет наивен. И да, с физикой серьезные проблемы. Описывать их не буду, все есть в комментариях ниже. 6 из 10.",6
"Просто потрясающий фильм, с прекрасной актерской игрой. Приятно было видеть Дженнифер Лоуренс в какой-то другой роли, кроме как Китнисс Эвердин. Фильм оправдал мои ожидания, 10 из 10.",10
"Фильм посмотрела, но он меня не впечатлил. Не было такого, что аж плакать хочется от такой сильной и вселенной любви. Рекламная компания, конечно, постаралась на славу и актеры вроде бы хороши собой. Игра их меня ужасно не впечатлила... Ожидала больше, но, к сожалению, не сбылись мои ожидания!",1
"Я в восторге! Это просто великолепный фильм! В фильме все гармонично. Игра актеров не дурна. Второй раз пересматривать не буду, но о потраченном времени на просмотр не сожалею. 10 из 10.",10
"Фильм можно посмотреть один раз... из-за Дженнифер Лоуренс. Ни о чём, пестрит различными клише, но всё это так избито, что даже сочувствие к главным героям не появляется. ""Титаник"" смотрели? Так вот, он самый, только в космосе).",1
"Очередной фильм, где любовь побеждает все. Но в данном кино этой паре больше и заняться было нечем). Можно возненавидеть за свой здоровый эгоизм главного героя, но боюсь, так бы поступил практически каждый.",3
"Отличная игра актеров. Мало фантастики, что меня и привлекло, хороший сценарий и достойные спецэффекты. Ставлю 8 из 10.",8
"Сперва о самом фильме: пересматривать не буду! Есть занудливые и затянутые моменты, актёры хороши, тут претензий нет, но раскрыть счастливые и трагические моменты до конца вероятно не хватило времени... Бармен-андроид - великолепен, по моему мнению он переиграл главных актёров! Зачёт!Теперь с точки зрения зрителя (пардон за тавтологию): сюжет не нов, но на фоне космического полёта смотрится свежо, что само по себе интересно. Бытовые сценки, возможности автоматики, фигура героини - мило и прелестно. Но вот сцены чудесных спасений портят весь сюжет. Захлебнувшаяся уже героиня, вдруг выныривает и начинает дышать, замерзший в продырявленном, оплавленном ядерным реактором скафандре герой - срочно оттаивает и... начинает дышать. Перебор. Не, реально, перебор!Теперь с точки зрения технаря (извините, профессиональное) Не знаю как в будущем, но сейчас все системы управления на космических аппаратах дублируются, так что в случае выхода из строя одной платы ничего страшного не случится. Автоматика перейдёт на другую схему. В случае крупной аварии должен быть дежурный тех.персонал, который будет оперативно разбужен и по устранению поломки, будет усыплён. В масштабах такого корабля это сделать не трудно. Сцена ремонта реактора порадовала - ржал как жеребец... Не, ну реально смешно... Короче тройка с минусом за физику...Теперь о конце. Который всему делу венец. То что космическая Джульетта осталась верна своему Ромео и пошла, вернее полетела с ним вместе, да согласен, на этих струнах души играл ещё Шекспир и они всё ещё отзываются тихим приятным звоном песни о настоящей любви. Только ведь имея жизненный опыт за плечами, знаешь, что от любви до ненависти - один шаг... а им ещё 88 лет лететь и всё это в ограниченном пространстве... нда, непростая ситуёвина. Что ж, хоть конец фильма не особо приторный, но попахивает любимым штатовским хэппиэндом... Вывод: сводить девушку на этот фильм, для последующей бурной ночи любви, вполне подойдёт, главное сказать ей, что она ну просто очень похожа на главную героиню... Конец комментария.",5
"Соглашусь с теми, кто считает что фильм ""Пассажиры"" один из лучших снятых в последние годы. ""Интерстелар"" рядом не стоит, из-за нелогичности событий (если землян спасает дочь главного героя, ради чего летал сам герой фильма?""). ""Гравитация"" глупый и ненаучный фильм про приключения одной хм, бабенки в космосе, такое могло произойти и на обычном водном корабле на земле, не зачем было отправлять Буллок ради этого на орбиту. А теперь критика. Реакция главной героини гипертрофированы до невозможности, мне кажется что она должна была бы реагировать не как шизофреничка, готовая со злости мозги размозжить об стену, а поорать пару дней, желательно матом, нажраться и успокоится. Главный герой ""Левша"", а не иначе, способен починить компьютер главного реактора как собрать конструктор ""лего"". Далее, кто же ставит смотровое окно прямо в реакторе? Какой дебил догадался его туда поставить?  Ну уж очень много иллюминаторов на корабле, где пассажиры весь рейс спят. И много мелочей, но это я так, в приступе логического мышления.  Если не обращать внимание на все это, то фильм очень неплох, приключенческий роман в стиле космо. 8 из 10.",8
"Фильм очень понравился! Несмотря на то, что количество актеров минимально, и действие за пределы корабля практически не выходят, фильм смотрится на одном дыхании. Фильм о любви, смотря его понимаешь, что для счастья не надо много.",10
"Не очень люблю фильмы про космос, потому как с детства боюсь неизведанное. Приступила к просмотру полагаясь на рейтинг и не пожалела. Маленькое но: после полуторачасового просмотра 10 минут было не интересно и затем настрой был вновь поднят на прежний уровень. Смотрим семьей и просто так. 8 из 10. Рекомендую!",8
"Лучший фильм в жанре фантастика за последние годы - 10 из 10. Жанр - фантастика, драма, мелодрама, триллер. Фильм очень интересный, невозможно оторваться от начала до конца, без лишних спецэффектов и кучи экшена, зато сюжет, игра актёров и декорации супер!",10
"Это один из реальных вариантов нашего будущего. Только вот сможет ли электроника функционировать сотню лет без вмешательства человека? Не думаю. Разве что каждые несколько лет кто-то должен просыпаться для проверки и ремонта систем корабля, а потом снова спать. Это вполне возможно. Вот только бы не быть сильно разочарованным после прибытия на новую планету. Там же ничего нет (наверное). Ну да ладно, это все мое представление.А по поводу целой жизни вдвоем на пустом корабле - это уже фантастика. Ну нереально это. Ну насадили деревьев на корабле, где-то взяли птиц.... ну а дальше что? Это клетка, а в любой клетке человек деградирует и сходит с ума. Ах да, фильм понравился).",7
"Фильм-однодневка, один раз посмотреть можно. Комменты к фильму и то интереснее, особенно фраза ""мы с сыном на калькуляторе считали""... количество съеденных продуктов, ухохотаться). Интересно, при подсчете, учитывались схомяченные продукты, возможными потомками пары - детьми  и внуками). Восторга, по поводу найденной кем-то ""неординарности и гениальности"" фильма - не разделяю, сюжет сырой, масса ляпов, банальностей и идиотизма. Ой, как романтично, сидеть всю жизнь в элитной одиночке вдвоем, ""похороненные заживо""... ну, лет 20 может еще и реально, но дальше, пожизненный брак в одиночке, без права развода). Несомненный плюс фильма - масштабные сцены космоса, можно смотреть не вникая в смысл, чисто ради профессионально сделанной графики и реалистичных 3дэшных космических фонов).",5
"Ожидал увидеть глупую фантастику. 10 из 10. Я колеблюсь между тем чтобы считать этот фильм лучшим из всех что я видел, потому что назвать его одним из лучших - это не сказать ничего, это однозначно. Напомнило мне ""Интерстеллар"", однако там больше фантастики и додумываний, а здесь переживаешь как взаправду почти все... нет слов.",10
"Честно говоря, от фильма ничего не ожидал, думал опять сняли какую-нибудь туфту, которая держится только на раскрученных актёрах. Но после просмотра голова моя взорвалась и кусочки мозга можно было найти в соседних районах. Это не фильм, а просто огонь! Это надо же было такой сценарий написать, да ещё и реализовать его по высшей категории. Восторг! Лучшая космическая драма всех времён и народов! Всем смотреть! Оценка 10/10.",10
"Очень крутой фильм! Когда смотрела, мне очень был интересен каждый кадр! Актеры сыграли на пятерку! Очень довольна). В конце немножко рыдала, ну то от того что так запал в душу этот фильм... Мне вообще по нраву любовь и фантастика). Романтика - это мое. Рекомендую!",10
"Мне очень понравился фильм. Я его так долго ждала. Во-первых, актеры в главной роли очень правильно подобранные. Снято хорошо. Есть всё и любовь, и сострадание, и гуманность. Романтичный фильм, смотрите и не пожалеете).",10
"По поводу припасов можете не беспокоиться. Кто смотрел внимательно, заметил, что в конце фильма роботы собирают урожай и, видимо куда-то складируют. Так что будут проснувшиеся со свежими овощами и фруктами. А по поводу фильма скажу: очень здорово сыграли актеры, сюжет интересный. Очень рекомендую.",10
"Превосходный фильм! Но как и всегда в сюжетной линии есть пару вопросов и скрытых моментов о ""бездарности"" человечества. Не буду раскрывать в подробностях, каждый увидит при просмотре. В целом мне понравился! Актеры на уровне. Рекомендую!",10
"Ожидала большего. Сюжет не плохой, но скучновато вышло. Хотя есть пару интересных сценок, да и видом космоса побаловали слегка, но повторно бы не смотрела. На 4- тянет, не больше.",4
"Сюжет не оригинальный. И почему на вахте не было живых людей, на случай внештатных ситуаций? Техника не совершенна и даёт сбой, да и за 120 лет можно на метеориты нарваться! Почему главный герой должен остаток жизни отстегивать компании, которая доставит его на новую планету - 20% от зарплаты, а главное - кому? Потомкам владельцев? Или быть рабом для прибывшей, с этим транспортом элитой? Похоже...",3
